Ranking,Team
1,Spain
2,Argentina
3,France
4,England
5,Brazil
6,Portugal
7,Netherlands
8,Morocco
9,Belgium
10,Germany
11,Croatia
12,Senegal
13,Italy
14,Colombia
15,USA
16,Mexico
17,Uruguay
18,Switzerland
19,Japan
20,IR Iran
21,Denmark
22,Korea Republic
23,Ecuador
24,Austria
25,Türkiye
26,Nigeria
27,Australia
28,Algeria
29,Canada
30,Ukraine
31,Egypt
32,Norway
33,Panama
34,Poland
35,Wales
36,Russia
37,Côte d'Ivoire
38,Scotland
39,Serbia
40,Paraguay
41,Hungary
42,Sweden
43,Czechia
44,Slovakia
45,Cameroon
46,Greece
47,Tunisia
48,Congo DR
49,Romania
50,Venezuela
51,Costa Rica
52,Uzbekistan
53,Peru
54,Mali
55,Chile
56,Qatar
57,Slovenia
58,Iraq
59,Republic of Ireland
60,South Africa
61,Saudi Arabia
62,Burkina Faso
63,Albania
64,Jordan
65,Honduras
66,North Macedonia
67,Cabo Verde
68,United Arab Emirates
69,Northern Ireland
70,Jamaica
71,Bosnia and Herzegovina
72,Ghana
73,Georgia
74,Iceland
75,Finland
76,Bolivia
77,Israel
78,Oman
79,Kosovo
80,Guinea
81,Curaçao
82,Montenegro
83,Haiti
84,Syria
85,New Zealand
86,Gabon
87,Bulgaria
88,Uganda
89,Angola
90,Bahrain
91,Zambia
92,Benin
93,China PR
94,Guatemala
95,Palestine
96,Thailand
97,Trinidad and Tobago
98,Belarus
99,El Salvador
100,Tajikistan
101,Mozambique
102,Luxembourg
103,Kyrgyz Republic
104,Madagascar
105,Armenia
106,Comoros
107,Equatorial Guinea
108,Vietnam
109,Lebanon
110,Tanzania
111,Niger
112,Libya
113,Kenya
114,Kazakhstan
115,Mauritania
116,The Gambia
117,Sudan
118,Namibia
119,Korea DPR
120,Sierra Leone
121,Malaysia
122,Indonesia
123,Suriname
124,Togo
125,Faroe Islands
126,Malawi
127,Azerbaijan
128,Cyprus
129,Estonia
130,Rwanda
131,Nicaragua
132,Zimbabwe
133,Guinea-Bissau
134,Congo
135,Kuwait
136,Philippines
137,Turkmenistan
138,Central African Republic
139,Latvia
140,Liberia
141,India
142,Dominican Republic
143,Lesotho
144,Botswana
145,Burundi
146,Lithuania
147,Ethiopia
148,Singapore
149,Yemen
150,New Caledonia
151,Guyana
152,Solomon Islands
153,Hong Kong China
154,St Kitts and Nevis
155,Fiji
156,Puerto Rico
157,Tahiti
158,Moldova
159,Eswatini
160,Vanuatu
161,Malta
162,Afghanistan
163,Myanmar
164,Grenada
165,Antigua and Barbuda
166,Cuba
167,St Lucia
168,South Sudan
169,Bermuda
170,Papua New Guinea
171,St Vincent and the Grenadines
172,Andorra
173,Maldives
174,Chinese Taipei
175,Montserrat
176,Mauritius
177,Chad
178,Barbados
179,Cambodia
180,Bangladesh
181,Belize
182,Nepal
183,Dominica
184,American Samoa
185,Mongolia
186,Cook Islands
187,Samoa
188,Brunei Darussalam
189,São Tomé and Príncipe
190,Laos
191,Aruba
192,Bhutan
193,Macau
194,Sri Lanka
195,Cayman Islands
196,Djibouti
197,Tonga
198,Timor-Leste
199,Pakistan
200,Somalia
201,Guam
202,Gibraltar
203,Seychelles
204,Turks and Caicos Islands
205,Liechtenstein
206,Bahamas
207,US Virgin Islands
208,British Virgin Islands
209,Anguilla
210,San Marino
211,Eritrea
