id,referee,timezone,date,venue_id,venue_name,venue_city,season,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
,,UTC,2024-07-05T00:00:00+00:00,,,,2024,Apertura - 1,Puebla,Santos Laguna,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-07-05T00:00:00+00:00,,,,2024,Apertura - 1,Club Queretaro,Club Tijuana,False,True,1,2,0,1,1,2,,,,
,,UTC,2024-07-05T00:00:00+00:00,,,,2024,Apertura - 1,FC Juarez,Atlas,False,False,2,2,1,0,2,2,,,,
,,UTC,2024-07-06T00:00:00+00:00,,,,2024,Apertura - 1,Atletico San Luis,Club America,True,False,2,1,1,1,2,1,,,,
,,UTC,2024-07-06T00:00:00+00:00,,,,2024,Apertura - 1,Tigres UANL,Necaxa,True,False,1,0,1,0,1,0,,,,
,,UTC,2024-07-06T00:00:00+00:00,,,,2024,Apertura - 1,Guadalajara Chivas,Toluca,False,False,0,0,,,0,0,,,,
,,UTC,2024-07-06T00:00:00+00:00,,,,2024,Apertura - 1,Cruz Azul,Mazatlán,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-07-07T00:00:00+00:00,,,,2024,Apertura - 1,U.N.A.M. - Pumas,Leon,True,False,4,1,2,1,4,1,,,,
,,UTC,2024-07-07T00:00:00+00:00,,,,2024,Apertura - 1,Pachuca,Monterrey,False,True,0,1,0,1,0,1,,,,
,,UTC,2024-07-12T00:00:00+00:00,,,,2024,Apertura - 2,Club America,Club Queretaro,True,False,3,1,2,1,3,1,,,,
,,UTC,2024-07-12T00:00:00+00:00,,,,2024,Apertura - 2,Mazatlán,Atletico San Luis,False,False,2,2,0,0,2,2,,,,
,,UTC,2024-07-12T00:00:00+00:00,,,,2024,Apertura - 2,Club Tijuana,Guadalajara Chivas,True,False,4,2,1,0,4,2,,,,
,,UTC,2024-07-12T00:00:00+00:00,,,,2024,Apertura - 2,Atlas,Tigres UANL,False,False,1,1,1,0,1,1,,,,
,,UTC,2024-07-13T00:00:00+00:00,,,,2024,Apertura - 2,Necaxa,Puebla,True,False,4,1,2,0,4,1,,,,
,,UTC,2024-07-13T00:00:00+00:00,,,,2024,Apertura - 2,Leon,Pachuca,False,False,0,0,,,0,0,,,,
,,UTC,2024-07-13T00:00:00+00:00,,,,2024,Apertura - 2,Santos Laguna,U.N.A.M. - Pumas,False,False,1,1,1,1,1,1,,,,
,,UTC,2024-07-13T00:00:00+00:00,,,,2024,Apertura - 2,Toluca,FC Juarez,True,False,3,2,2,0,3,2,,,,
,,UTC,2024-07-13T00:00:00+00:00,,,,2024,Apertura - 2,Monterrey,Cruz Azul,False,True,0,4,0,2,0,4,,,,
,,UTC,2024-07-16T00:00:00+00:00,,,,2024,Apertura - 3,Club Queretaro,Guadalajara Chivas,False,True,0,2,0,1,0,2,,,,
,,UTC,2024-07-16T00:00:00+00:00,,,,2024,Apertura - 3,Atlas,Santos Laguna,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-07-16T00:00:00+00:00,,,,2024,Apertura - 3,Pachuca,Atletico San Luis,True,False,2,0,1,0,2,0,,,,
,,UTC,2024-07-16T00:00:00+00:00,,,,2024,Apertura - 3,Puebla,Leon,False,False,2,2,1,1,2,2,,,,
,,UTC,2024-07-16T00:00:00+00:00,,,,2024,Apertura - 3,Cruz Azul,Club Tijuana,True,False,3,0,2,0,3,0,,,,
,,UTC,2024-07-17T00:00:00+00:00,,,,2024,Apertura - 3,Necaxa,Monterrey,False,True,0,1,0,0,0,1,,,,
,,UTC,2024-07-17T00:00:00+00:00,,,,2024,Apertura - 3,FC Juarez,U.N.A.M. - Pumas,False,True,1,2,1,0,1,2,,,,
,,UTC,2024-07-17T00:00:00+00:00,,,,2024,Apertura - 3,Toluca,Mazatlán,True,False,3,0,2,0,3,0,,,,
,,UTC,2024-07-17T00:00:00+00:00,,,,2024,Apertura - 3,Tigres UANL,Club America,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-07-19T00:00:00+00:00,,,,2024,Apertura - 4,Atletico San Luis,Club Tijuana,False,False,1,1,1,1,1,1,,,,
,,UTC,2024-07-19T00:00:00+00:00,,,,2024,Apertura - 4,Puebla,Atlas,False,True,1,2,0,2,1,2,,,,
,,UTC,2024-07-20T00:00:00+00:00,,,,2024,Apertura - 4,Guadalajara Chivas,Mazatlán,True,False,2,0,0,0,2,0,,,,
,,UTC,2024-07-20T00:00:00+00:00,,,,2024,Apertura - 4,Santos Laguna,Tigres UANL,False,True,0,3,0,0,0,3,,,,
,,UTC,2024-07-20T00:00:00+00:00,,,,2024,Apertura - 4,Monterrey,Club Queretaro,True,False,2,1,1,0,2,1,,,,
,,UTC,2024-07-20T00:00:00+00:00,,,,2024,Apertura - 4,Cruz Azul,Toluca,False,False,1,1,0,1,1,1,,,,
,,UTC,2024-07-20T00:00:00+00:00,,,,2024,Apertura - 4,FC Juarez,Club America,False,True,1,2,1,1,1,2,,,,
,,UTC,2024-07-21T00:00:00+00:00,,,,2024,Apertura - 4,U.N.A.M. - Pumas,Pachuca,True,False,2,0,1,0,2,0,,,,
,,UTC,2024-07-21T00:00:00+00:00,,,,2024,Apertura - 4,Leon,Necaxa,False,False,1,1,0,1,1,1,,,,
,,UTC,2024-08-23T00:00:00+00:00,,,,2024,Apertura - 5,Club Queretaro,Cruz Azul,False,True,0,2,0,1,0,2,,,,
,,UTC,2024-08-23T00:00:00+00:00,,,,2024,Apertura - 5,Mazatlán,Pachuca,True,False,3,0,3,0,3,0,,,,
,,UTC,2024-08-23T00:00:00+00:00,,,,2024,Apertura - 5,Club Tijuana,Monterrey,False,False,2,2,1,2,2,2,,,,
,,UTC,2024-08-24T00:00:00+00:00,,,,2024,Apertura - 5,Necaxa,FC Juarez,True,False,3,0,1,0,3,0,,,,
,,UTC,2024-08-24T00:00:00+00:00,,,,2024,Apertura - 5,Leon,Santos Laguna,False,False,1,1,1,1,1,1,,,,
,,UTC,2024-08-24T00:00:00+00:00,,,,2024,Apertura - 5,Atlas,U.N.A.M. - Pumas,True,False,2,1,1,0,2,1,,,,
,,UTC,2024-08-24T00:00:00+00:00,,,,2024,Apertura - 5,Tigres UANL,Guadalajara Chivas,False,False,1,1,0,0,1,1,,,,
,,UTC,2024-08-24T00:00:00+00:00,,,,2024,Apertura - 5,Club America,Puebla,False,True,0,1,0,0,0,1,,,,
,,UTC,2024-08-25T00:00:00+00:00,,,,2024,Apertura - 5,Toluca,Atletico San Luis,True,False,2,1,1,1,2,1,,,,
,,UTC,2024-08-30T00:00:00+00:00,,,,2024,Apertura - 6,Atletico San Luis,Atlas,True,False,2,1,1,0,2,1,,,,
,,UTC,2024-08-30T00:00:00+00:00,,,,2024,Apertura - 6,Mazatlán,Puebla,False,False,1,1,1,1,1,1,,,,
,,UTC,2024-08-30T00:00:00+00:00,,,,2024,Apertura - 6,Club Tijuana,Leon,True,False,2,1,1,1,2,1,,,,
,,UTC,2024-08-31T00:00:00+00:00,,,,2024,Apertura - 6,Pachuca,Club Queretaro,False,False,1,1,0,1,1,1,,,,
,,UTC,2024-08-31T00:00:00+00:00,,,,2024,Apertura - 6,Guadalajara Chivas,FC Juarez,True,False,5,0,4,0,5,0,,,,
,,UTC,2024-08-31T00:00:00+00:00,,,,2024,Apertura - 6,Monterrey,Toluca,False,True,1,2,0,1,1,2,,,,
,,UTC,2024-08-31T00:00:00+00:00,,,,2024,Apertura - 6,Cruz Azul,Club America,True,False,4,1,2,1,4,1,,,,
,,UTC,2024-09-01T00:00:00+00:00,,,,2024,Apertura - 6,U.N.A.M. - Pumas,Tigres UANL,False,True,1,3,1,2,1,3,,,,
,,UTC,2024-09-01T00:00:00+00:00,,,,2024,Apertura - 6,Santos Laguna,Necaxa,True,False,3,2,0,1,3,2,,,,
,,UTC,2024-09-13T00:00:00+00:00,,,,2024,Apertura - 7,Puebla,Club Queretaro,True,False,2,1,1,0,2,1,,,,
,,UTC,2024-09-13T00:00:00+00:00,,,,2024,Apertura - 7,Atlas,Pachuca,True,False,2,0,2,0,2,0,,,,
,,UTC,2024-09-13T00:00:00+00:00,,,,2024,Apertura - 7,FC Juarez,Mazatlán,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-09-13T00:00:00+00:00,,,,2024,Apertura - 7,Tigres UANL,Atletico San Luis,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-09-13T00:00:00+00:00,,,,2024,Apertura - 7,Necaxa,U.N.A.M. - Pumas,True,False,2,0,0,0,2,0,,,,
,,UTC,2024-09-14T00:00:00+00:00,,,,2024,Apertura - 7,Toluca,Club Tijuana,True,False,4,0,1,0,4,0,,,,
,,UTC,2024-09-14T00:00:00+00:00,,,,2024,Apertura - 7,Club America,Guadalajara Chivas,True,False,1,0,1,0,1,0,,,,
,,UTC,2024-09-14T00:00:00+00:00,,,,2024,Apertura - 7,Leon,Cruz Azul,False,True,1,2,1,1,1,2,,,,
,,UTC,2024-09-14T00:00:00+00:00,,,,2024,Apertura - 7,Santos Laguna,Monterrey,False,True,0,2,0,1,0,2,,,,
,,UTC,2024-08-18T00:00:00+00:00,,,,2024,Apertura - 8,Club Tijuana,Santos Laguna,True,False,3,1,2,1,3,1,,,,
,,UTC,2024-09-17T00:00:00+00:00,,,,2024,Apertura - 8,Atletico San Luis,Cruz Azul,True,False,3,1,2,1,3,1,,,,
,,UTC,2024-09-17T00:00:00+00:00,,,,2024,Apertura - 8,Pachuca,Toluca,False,False,2,2,0,1,2,2,,,,
,,UTC,2024-09-17T00:00:00+00:00,,,,2024,Apertura - 8,Club America,Atlas,True,False,3,0,1,0,3,0,,,,
,,UTC,2024-09-17T00:00:00+00:00,,,,2024,Apertura - 8,U.N.A.M. - Pumas,Puebla,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-09-17T00:00:00+00:00,,,,2024,Apertura - 8,Club Queretaro,Tigres UANL,True,False,1,0,1,0,1,0,,,,
,,UTC,2024-09-18T00:00:00+00:00,,,,2024,Apertura - 8,Guadalajara Chivas,Leon,True,False,2,0,1,0,2,0,,,,
,,UTC,2024-09-18T00:00:00+00:00,,,,2024,Apertura - 8,Mazatlán,Necaxa,False,False,0,0,,,0,0,,,,
,,UTC,2024-09-18T00:00:00+00:00,,,,2024,Apertura - 8,Monterrey,FC Juarez,True,False,3,2,1,0,3,2,,,,
,,UTC,2024-09-20T00:00:00+00:00,,,,2024,Apertura - 9,Atlas,Club Queretaro,False,True,0,1,0,1,0,1,,,,
,,UTC,2024-09-20T00:00:00+00:00,,,,2024,Apertura - 9,Puebla,Pachuca,False,True,2,3,1,2,2,3,,,,
,,UTC,2024-09-21T00:00:00+00:00,,,,2024,Apertura - 9,Leon,Atletico San Luis,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-09-21T00:00:00+00:00,,,,2024,Apertura - 9,Necaxa,Club America,False,False,1,1,1,0,1,1,,,,
,,UTC,2024-09-21T00:00:00+00:00,,,,2024,Apertura - 9,Monterrey,Mazatlán,False,False,0,0,,,0,0,,,,
,,UTC,2024-09-21T00:00:00+00:00,,,,2024,Apertura - 9,Cruz Azul,Guadalajara Chivas,True,False,1,0,0,0,1,0,,,,
,,UTC,2024-09-22T00:00:00+00:00,,,,2024,Apertura - 9,U.N.A.M. - Pumas,Club Tijuana,True,False,1,0,0,0,1,0,,,,
